model_name,lang,category,n,rougeL_f1,meteor,chrfpp,bertscore_precision,bertscore_recall,bertscore_f1,bert_cosine,e5_cosine,expansion_ratio,expansion_abs_distance_from_1
Qwen/Qwen3-4B-Instruct-2507,ca,Airport,34,0.7065138225332822,0.634562628556949,0.6804575920024611,0.9027991645476398,0.9030672750052284,0.9027429573676166,0.914754578295876,0.932565822320826,0.9790338150545113,0.08641905530987194
Qwen/Qwen3-4B-Instruct-2507,ca,Artist,47,0.674072543300037,0.5976127994257527,0.6569692185547068,0.908875268824557,0.9083224509624724,0.9084363085158328,0.9147409543077997,0.9351567220180592,0.9806304199109666,0.0796034869937079
Qwen/Qwen3-4B-Instruct-2507,ca,Astronaut,26,0.643855735353755,0.6074116078457353,0.6170411158569584,0.8946375250816345,0.8981984555721283,0.896260910309278,0.9018961764298953,0.9351022793696477,0.9962981195915718,0.07922268073698877
Qwen/Qwen3-4B-Instruct-2507,ca,Athlete,20,0.5962572301174139,0.5283553949502794,0.5995599934993883,0.8759280294179916,0.885075131058693,0.8804290413856506,0.8799804538488388,0.935650983452797,1.0405817522019387,0.08943124579697108
Qwen/Qwen3-4B-Instruct-2507,ca,Building,7,0.46155281271560344,0.5009908230975064,0.5647010983993,0.842896180493491,0.8602758135114398,0.8514682395117623,0.8723534090178353,0.930022052356175,1.0322246254300025,0.057843196570592524
Qwen/Qwen3-4B-Instruct-2507,ca,CelestialBody,17,0.5989153147126486,0.5288987044155489,0.5868662607278232,0.856016102959128,0.8730334008441252,0.8643404595992145,0.8728499132044175,0.9256053181255565,1.0238190886836933,0.08784743240390809
Qwen/Qwen3-4B-Instruct-2507,ca,City,35,0.6336736247986328,0.6150867927070922,0.6458211625665266,0.8722217287336077,0.8906122275761196,0.88078008719853,0.8984219908714295,0.9342159884316581,1.077685328393483,0.11781911895661827
Qwen/Qwen3-4B-Instruct-2507,ca,ComicsCharacter,7,0.3976369407594529,0.35509018474590465,0.44689098187931797,0.8368277720042637,0.8415858660425458,0.8391533153397697,0.8479218482971191,0.9126865097454616,1.05552142685518,0.08900597186681856
Qwen/Qwen3-4B-Instruct-2507,ca,Company,30,0.6703060382651692,0.6237870584091056,0.6676600751342865,0.9031027058760325,0.9146030286947886,0.9085501392682394,0.9067980190118153,0.9362840771675109,1.0019307018288317,0.09433064486698071
Qwen/Qwen3-4B-Instruct-2507,ca,Film,117,0.612309146413137,0.5940866643795365,0.633016808261632,0.8790583141848572,0.8890519595553732,0.8838244370925121,0.8630631800390717,0.9306961812524714,1.0058943117394783,0.058997735565873725
Qwen/Qwen3-4B-Instruct-2507,ca,Food,7,0.49204562839174104,0.4318400760585798,0.4923253590506612,0.8459741302898952,0.8403984904289246,0.8430757437433515,0.8444704157965524,0.9266863635608128,1.1143274598367605,0.17229847432951412
Qwen/Qwen3-4B-Instruct-2507,ca,MeanOfTransportation,25,0.6041084779869799,0.5598074632576917,0.6024183845078014,0.87043123960495,0.8903795099258422,0.8800582194328308,0.8720928359031678,0.9281314587593079,1.1154940170028511,0.1645597240724721
Qwen/Qwen3-4B-Instruct-2507,ca,Monument,5,0.7193066322136089,0.693870803915783,0.7394078508193072,0.9138270378112793,0.9194946646690368,0.9165760755538941,0.9459221005439759,0.9366236686706543,1.0142393836836125,0.028918282766181403
Qwen/Qwen3-4B-Instruct-2507,ca,MusicalWork,124,0.569830080911528,0.5377364063115667,0.5765985983733434,0.86173854912481,0.8827191480705815,0.8718387301891081,0.8823191845609296,0.9236588295428984,1.0435833718410366,0.10258600314146121
Qwen/Qwen3-4B-Instruct-2507,ca,Politician,6,0.6287625011029266,0.6642082946737701,0.7256987796093991,0.8887323538462321,0.9160209894180298,0.901919424533844,0.9039488136768341,0.9352782567342123,1.0677633304588354,0.07869229220746927
Qwen/Qwen3-4B-Instruct-2507,ca,Scientist,129,0.6542855836356707,0.583938433136512,0.6698771109395014,0.9111859507338945,0.9081636371538621,0.909465681212817,0.9060604253480601,0.9331731606823529,0.9775919348707968,0.07457466604892424
Qwen/Qwen3-4B-Instruct-2507,ca,SportsTeam,6,0.4679986267426934,0.35895338801841153,0.45655411888729486,0.8463876148064932,0.8317739168802897,0.8390081723531088,0.9069744149843851,0.9254489839076996,0.9781906147194425,0.03602622904285574
Qwen/Qwen3-4B-Instruct-2507,ca,University,29,0.769317778413106,0.6613174723013735,0.7834800754436482,0.9401463825127174,0.9556457133128725,0.9475905299186707,0.9555512502275664,0.9327152268639927,1.0158161106248402,0.06238329377693534
Qwen/Qwen3-4B-Instruct-2507,ca,WrittenWork,29,0.626187726457181,0.5827381198819442,0.6098196830338595,0.8851991028621279,0.8959630296148103,0.8904944678832745,0.8746998638942324,0.922333982484094,1.0244426958247055,0.05863098656730606
